太陽電池変換効率,放射束(W),光束(lm),LED効率
1,0.0360,24.5880,1.0000
2,0.0180,12.2940,0.5000
3,0.0120,8.1960,0.3333
4,0.0090,6.1470,0.2500
5,0.0072,4.9176,0.2000
6,0.0060,4.0980,0.1667
7,0.0051,3.5126,0.1429
8,0.0045,3.0735,0.1250
9,0.0040,2.7320,0.1111
10,0.0036,2.4588,0.1000
11,0.0033,2.2353,0.0909
12,0.0030,2.0490,0.0833
13,0.0028,1.8914,0.0769
14,0.0026,1.7563,0.0714
15,0.0024,1.6392,0.0667
16,0.0023,1.5368,0.0625
17,0.0021,1.4464,0.0588
18,0.0020,1.3660,0.0556
19,0.0019,1.2941,0.0526
20,0.0018,1.2294,0.0500
21,0.0017,1.1709,0.0476
22,0.0016,1.1176,0.0455
23,0.0016,1.0690,0.0435
24,0.0015,1.0245,0.0417
25,0.0014,0.9835,0.0400
26,0.0014,0.9457,0.0385
27,0.0013,0.9107,0.0370
28,0.0013,0.8781,0.0357
29,0.0012,0.8479,0.0345
30,0.0012,0.8196,0.0333
31,0.0012,0.7932,0.0323
32,0.0011,0.7684,0.0312
33,0.0011,0.7451,0.0303
34,0.0011,0.7232,0.0294
35,0.0010,0.7025,0.0286
36,0.0010,0.6830,0.0278
37,0.0010,0.6645,0.0270
38,0.0009,0.6471,0.0263
39,0.0009,0.6305,0.0256
40,0.0009,0.6147,0.0250
41,0.0009,0.5997,0.0244
42,0.0009,0.5854,0.0238
43,0.0008,0.5718,0.0233
44,0.0008,0.5588,0.0227
45,0.0008,0.5464,0.0222
46,0.0008,0.5345,0.0217
47,0.0008,0.5231,0.0213
48,0.0008,0.5123,0.0208
49,0.0007,0.5018,0.0204
50,0.0007,0.4918,0.0200
51,0.0007,0.4821,0.0196
52,0.0007,0.4728,0.0192
53,0.0007,0.4639,0.0189
54,0.0007,0.4553,0.0185
55,0.0007,0.4471,0.0182
56,0.0006,0.4391,0.0179
57,0.0006,0.4314,0.0175
58,0.0006,0.4239,0.0172
59,0.0006,0.4167,0.0169
60,0.0006,0.4098,0.0167
61,0.0006,0.4031,0.0164
62,0.0006,0.3966,0.0161
63,0.0006,0.3903,0.0159
64,0.0006,0.3842,0.0156
65,0.0006,0.3783,0.0154
66,0.0005,0.3725,0.0152
67,0.0005,0.3670,0.0149
68,0.0005,0.3616,0.0147
69,0.0005,0.3563,0.0145
70,0.0005,0.3513,0.0143
71,0.0005,0.3463,0.0141
72,0.0005,0.3415,0.0139
73,0.0005,0.3368,0.0137
74,0.0005,0.3323,0.0135
75,0.0005,0.3278,0.0133
76,0.0005,0.3235,0.0132
77,0.0005,0.3193,0.0130
78,0.0005,0.3152,0.0128
79,0.0005,0.3112,0.0127
80,0.0005,0.3074,0.0125
81,0.0004,0.3036,0.0123
82,0.0004,0.2999,0.0122
83,0.0004,0.2962,0.0120
84,0.0004,0.2927,0.0119
85,0.0004,0.2893,0.0118
86,0.0004,0.2859,0.0116
87,0.0004,0.2826,0.0115
88,0.0004,0.2794,0.0114
89,0.0004,0.2763,0.0112
90,0.0004,0.2732,0.0111
91,0.0004,0.2702,0.0110
92,0.0004,0.2673,0.0109
93,0.0004,0.2644,0.0108
94,0.0004,0.2616,0.0106
95,0.0004,0.2588,0.0105
96,0.0004,0.2561,0.0104
97,0.0004,0.2535,0.0103
98,0.0004,0.2509,0.0102
99,0.0004,0.2484,0.0101
100,0.0004,0.2459,0.0100
